seller-name,seller-type,layout_type,property_type,projName,location,val 2,unit,area,val 4,possession,number of bedrooms
Aaradhya Properties,AGENT,BHK,Apartment,Nirmiti Lorelle,Wakad,1.12,Cr,"7,466 / sq ft",Ready to move,Resale,3 BHK Property for Sale in Wakad Pune
Vansh Real Estate,AGENT,BHK,Apartment,Duville Riverdale Heights,Kharadi,79,L,"8,229 / sq ft",Ready to move,Resale,2 BHK Property for Sale in Kharadi Pune
Vansh Real Estate,AGENT,BHK,Apartment,Panchshil Yoo Pune,Hadapsar,8.5,Cr,"15,178 / sq ft",Ready to move,Resale,5 BHK Property for Sale in Hadapsar Pune
Vansh Real Estate,AGENT,BHK,Apartment,Panchshil Towers,Kharadi,3.4,Cr,"9,985 / sq ft",Ready to move,,4 BHK Property for Sale in Kharadi Pune
Vansh Real Estate,AGENT,BHK,Apartment,Panchshil Towers,Kharadi,2.7,Cr,"9,152 / sq ft",Ready to move,,3 BHK Property for Sale in Kharadi Pune
Vansh Real Estate,AGENT,BHK,Apartment,Acropolis The Ark Voyage To The Stars Phase II,NIBM Annex Mohammadwadi,4.5,Cr,"10,227 / sq ft",Ready to move,,4 BHK Property for Sale in NIBM Annex Mohammadwadi Pune
Vansh Real Estate,AGENT,BHK,Apartment,Panchshil Towers,Kharadi,3.3,Cr,"9,691 / sq ft",Ready to move,,4 BHK Property for Sale in Kharadi Pune
Mascrow Developers,AGENT,BHK,Apartment,Paranjape Blue Ridge,Hinjewadi,1.2,Cr,"6,936 / sq ft",Ready to move,West facing,3 BHK Property for Sale in Hinjewadi Pune
Mascrow Developers,AGENT,BHK,Apartment,Paranjape Blue Ridge,Hinjewadi,1.3,Cr,"7,514 / sq ft",Ready to move,West facing,3 BHK Property for Sale in Hinjewadi Pune
Mascrow Developers,AGENT,BHK,Apartment,Paranjape Blue Ridge,Hinjewadi,1.05,Cr,"6,069 / sq ft",Ready to move,West facing,3 BHK Property for Sale in Hinjewadi Pune
Mascrow Developers,AGENT,BHK,Apartment,Paranjape Blue Ridge,Hinjewadi,68,L,"5,913 / sq ft",Ready to move,West facing,2 BHK Property for Sale in Hinjewadi Pune
